Error(MUE),FPTrainCoverage,FPTestCoverage,FPDistance,TrainSE,TestSE,DiffSE
0.5188248517819884,0.7734375,0.21533203125,2.1391024174040054,285.1893022637407,207.94069948339825,-77.24860278034242
0.40898310977372154,0.767578125,0.265625,2.0222285705137537,283.5231968220807,229.28385690749477,-54.23933991458594
0.43858851385195485,0.74072265625,0.376953125,1.1531264333505653,284.46155753672286,245.05251325457067,-39.409044282152195
0.4164332054248736,0.765625,0.291015625,1.7508597213615935,281.6681531893646,247.0764490437528,-34.5917041456118
0.420047749772375,0.76025390625,0.32373046875,1.3121037463602863,283.53640134803123,245.77561482270298,-37.76078652532826
0.5383026545531161,0.7392578125,0.36328125,1.1008816224419014,286.10189516402386,239.69811140991555,-46.403783754108304
0.43093328511486045,0.75537109375,0.28564453125,1.4878391771785187,283.09798269961203,239.9979092625549,-43.10007343705712
0.3927610432831514,0.767578125,0.2666015625,1.5071112206859112,284.196972412552,235.0254322046322,-49.171540207919776
0.437152674099464,0.75732421875,0.3056640625,1.347450018241489,282.9040374490083,242.5366222161734,-40.36741523283487
0.36903764346750084,0.748046875,0.37109375,1.4167039288680203,278.2606417500793,272.5629284918559,-5.697713258223359
